usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,submittedname,matchcategory,note,acceptedUsageKey
4351395,"Leptonychotes weddelli (Lesson, 1826)",Leptonychotes weddelli,SPECIES,SYNONYM,94,FUZZY,Animalia,Chordata,Carnivora,Phocidae,Leptonychotes,Leptonychotes weddellii,1,44,359,732,5310,2434783,2434784,TRUE,Mammalia,Leptonychotes weddellii,Alternative,Similarity: name=100; authorship=0; classification=-2; rank=5; status=0,2434784
2484892,"Sitta carolinensis Latham, 1790",Sitta carolinensis,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Sittidae,Sitta,Sitta carolinensis,1,44,212,729,5283,2484878,2484892,FALSE,Aves,Sitta carolinensis,Top,NA,NA
5477029,Sticta carolinensis T.McDonald,Sticta carolinensis,SPECIES,ACCEPTED,0,FUZZY,Fungi,Ascomycota,Peltigerales,Lobariaceae,Sticta,Sticta carolinensis,5,95,180,1055,8375,2601351,5477029,FALSE,Lecanoromycetes,Sitta carolinensis,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1,NA
2481495,"Procellaria aequinoctialis Linnaeus, 1758",Procellaria aequinoctialis,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Procellariidae,Procellaria,Procellaria aequinoctialis,1,44,212,7192755,9339,2481430,2481495,FALSE,Aves,Procellaria aequinoctialis,Top,NA,NA
2487413,"Vireo griseus (Boddaert, 1783)",Vireo griseus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Vireonidae,Vireo,Vireo griseus,1,44,212,729,9358,2487406,2487413,FALSE,Aves,Vireo griseus,Top,NA,NA
3905381,Vitex grisea Baker,Vitex grisea,SPECIES,ACCEPTED,69,FUZZY,Plantae,Tracheophyta,Lamiales,Lamiaceae,Vitex,Vitex grisea,6,7707728,220,408,2497,2925556,3905381,FALSE,Magnoliopsida,Vireo griseus,Alternative,Similarity: name=65; authorship=0; classification=-2; rank=5; status=1,NA
2482786,"Empidonax traillii (Audubon, 1828)",Empidonax traillii,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,1,44,212,729,5291,2482766,2482786,FALSE,Aves,Empidonax traillii,Top,NA,NA
2490872,"Hylocichla mustelina (Gmelin, 1789)",Hylocichla mustelina,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Turdidae,Hylocichla,Hylocichla mustelina,1,44,212,729,5290,2490871,2490872,FALSE,Aves,Hylocichla mustelina,Top,NA,NA
2496287,"Coccyzus americanus (Linnaeus, 1758)",Coccyzus americanus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,1,44,212,1492,9309,2496285,2496287,FALSE,Aves,Coccyzus americanus,Top,NA,NA
2489989,"Icteria virens (Linnaeus, 1758)",Icteria virens,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Icteria,Icteria virens,1,44,212,729,5263,2489988,2489989,FALSE,Aves,Icteria virens,Top,NA,NA
2487453,"Vireo flavifrons Vieillot, 1808",Vireo flavifrons,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Vireonidae,Vireo,Vireo flavifrons,1,44,212,729,9358,2487406,2487453,FALSE,Aves,Vireo flavifrons,Top,NA,NA
